type,title,director,cast,country,date_added,year_added,release_year,rating,duration,listed_in
TV Show,Saved by the Bell,Not Specified,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,2021-09-15,2021.0,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies"
Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,Unknown,2021-09-15,2021.0,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies"
TV Show,Stories by Rabindranath Tagore,Not Specified,,India,2021-09-15,2021.0,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
TV Show,Too Hot To Handle: Latino,Not Specified,Itatí Cantoral,Unknown,2021-09-15,2021.0,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",Unknown,2021-09-14,2021.0,2021,TV-Y,13 min,Children & Family Movies
TV Show,Jack Whitehall: Travels with My Father,Not Specified,"Jack Whitehall, Michael Whitehall",United Kingdom,2021-09-14,2021.0,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows"
Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2021-09-14,2021.0,2018,TV-MA,182 min,"Dramas, International Movies"
TV Show,The World's Most Amazing Vacation Rentals,Not Specified,,Unknown,2021-09-14,2021.0,2021,TV-PG,2 Seasons,Reality TV
Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",Unknown,2021-09-14,2021.0,2021,TV-G,106 min,Children & Family Movies
TV Show,Yowamushi Pedal,Not Specified,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,2021-09-14,2021.0,2013,TV-14,1 Season,"Anime Series, International TV Shows"
Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",Unknown,2021-09-11,2021.0,2021,TV-Y7,48 min,"Children & Family Movies, Comedies"
Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11,2021.0,2020,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11,2021.0,2021,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",Unknown,2021-09-10,2021.0,2021,TV-Y7,93 min,Children & Family Movies
Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021-09-10,2021.0,2021,R,106 min,Action & Adventure
TV Show,Lucifer,Not Specified,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021-09-10,2021.0,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
TV Show,Metal Shop Masters,Not Specified,Jo Koy,Unknown,2021-09-10,2021.0,2021,TV-MA,1 Season,Reality TV
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2021-09-10,2021.0,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
TV Show,Pokémon Master Journeys: The Series,Not Specified,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",Unknown,2021-09-10,2021.0,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",Unknown,2021-09-10,2021.0,2021,TV-MA,87 min,"International Movies, Thrillers"
TV Show,Titipo Titipo,Not Specified,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",Unknown,2021-09-10,2021.0,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
